Year of Manufacture,Car Make,Car Full Title,Cash Price (USD),Exterior,Interior,Mileage,Fuel Type,MPG,Transmission,Drivetrain,Engine,Location,Listed Since,VIN,Stock Number,Features,Financing Support,Price Category,City MPG,Highway MPG,Price Segment,Top Exterior Color,State,Top State,Listed Days,Cluster,Expected_Days_To_Sell,Probability_Sold_30Days,Total_Expected_Days
2015,Dodge,2015 Dodge Dart Sxt,4999,Pitch Black Clearcoat,Black,146190,Gas,22 city / 35 highway,Automatic Transmission,Fwd,2.4L Inline-4 Gas Inline,"Vero Beach, Fl",58 days ago,1C3CDFBB4FD431711,2S24589A,"Engine: 2.4L I4 Multiair; Transmission: 6 Speed Automatic; Quick Order Package 28B; 16 X 7.0 Monotone Painted Aluminum Wheels; Tires: P205/55R16 As; Black, Premium Cloth Seats; Compact Spare Tire; See less; Wheel Type; Bluetooth; Quick Order Package 28B; 6 Speakers; AM/FM radio; CD player; Radio data system; See all features",No,Budget (<5K),22.0,35.0,Budget / Used,Other,florida,florida,58.0,5,14.25,0.5845450377381887,72.25
2016,Dodge,2016 Dodge Dart Sxt Sport Blacktop,5997,Bright White Clearcoat,Black,117797,Gas,25 city / 36 highway,Automatic Transmission,Fwd,2.0L Inline-4 Gas Inline,"Mccordsville, In",57 days ago,1C3CDFFA1GD803301,24224B,"Engine: 2.0L I4 Dohc; Transmission: 6 Speed Automatic; Quick Order Package 24E SXT Sport Blacktop; Black, Sport Cloth Seats; Wheel Type; Bluetooth; CD player; Radio data system; Radio: 200; Air Conditioning; Rear window defroster; Power steering; Power windows; Remote keyless entry; Steering wheel mounted audio controls; Four wheel independent suspension; Speed-sensing steering; Traction control; 4-Wheel Disc Brakes; ABS brakes; Anti-whiplash front head restraints; Dual front impact airbags; Dual front side impact airbags; Front anti-roll bar; Knee airbag; Low tire pressure warning; Occupant sensing airbag; Overhead airbag; Rear side impact airbag; Brake assist; Electronic Stability Control; Delay-off headlights; Panic alarm; Speed control; Bumpers: body-color; Manufacturer's Statement of Origin; Power door mirrors; Driver door bin; Driver vanity mirror; Front reading lights; Illuminated entry; Outside temperature display; Overhead console; Passenger vanity mirror; Rear reading lights; Tachometer; Telescoping steering wheel; Tilt steering wheel; Front Bucket Seats; Front Center Armrest; Passenger door bin; Alloy wheels; Wheels: 16'' x 7.0'' Monotone Painted Aluminum; Speed-Sensitive Wipers; Variably intermittent wipers; Available for a test drive today!; Non Smoker; Clean Carfax; Bluetooth; Backup Camera; Local Trade; Touch Screen Controls; Call (317) 335-3000; ***SXT***; See less",Yes,Affordable (5K-15K),25.0,36.0,Affordable,Other,indiana,Unmatched,57.0,6,15.15,0.351536445105772,72.15
2016,Jeep,2016 Jeep Wrangler Sport,11250,Bright White Clearcoat,Black,98834,Gas,17 city / 21 highway,Automatic Transmission,4Wd,3.6L V-6 Gas V,"Grove City, Oh",128 days ago,1C4AJWAG1GL219705,60091,"Engine: 3.6L V6 24V VVT; Transmission: 5 Speed Automatic (W5a580); Quick Order Package 24B; 3.21 Rear Axle Ratio; 16"" X 7.0"" Styled Steel Wheels; Tires: P245/75R16 As Owl; Black, Cloth Seats with Adjustable Head Restraints; Black 3 Piece Hard Top; Deep Tint Sunscreen Windows; Sirius Satellite Radio; Air Conditioning; See less; Quick Order Package 24B; Sunrider Soft Top; 8 Speakers; AM/FM radio; Audio Jack Input for Mobile Devices; See all features",Yes,Affordable (5K-15K),17.0,21.0,Affordable,Other,ohio,Unmatched,128.0,1,14.4,0.5223889082327147,142.4
2016,Jeep,2016 Jeep Wrangler Sport,13988,Black Clearcoat,Black,91119,Gas,17 city / 21 highway,Automatic Transmission,4Wd,3.6L V-6 Gas V,"Statesboro, Ga",97 days ago,1C4AJWAG7GL131063,GL131063,"Engine: 3.6L V6 24V VVT; Transmission: 5 Speed Automatic (W5a580); Quick Order Package 24S; 3.21 Rear Axle Ratio; 17"" X 7.5"" Aluminum Wheels; Black, Cloth Seats with Adjustable Head Restraints; Trailer Tow Group; Half Metal Doors with Locks; Anti Spin Differential Rear Axle; Deep Tint Sunscreen Windows; Tubular Side Steps; Sirius Satellite Radio; Air Conditioning; Mopar Slush Mats; See less; Wheel Type; Tow Hitch; Quick Order Package 24S: 17"" X 7.5"" Aluminum Wheels; Leather Wrapped Steering Wheel; Air Conditioning; Trailer Tow Group: Class II Receiver Hitch; Trailer Tow with 4-Pin Connector Wiring; Half Metal Doors with Locks: Plastic Front Door Window; Air Conditioning; Deep Tint Sunscreen Windows; See all features",Yes,Affordable (5K-15K),17.0,21.0,Affordable,Other,georgia,Unmatched,97.0,1,28.05,0.4231939045076994,125.05
2012,Jeep,2012 Jeep Wrangler Sport 4Wd,10500,Bright Silver Metallic,Black Interior,121037,Gas,17 city / 21 highway,Manual Transmission,4Wd,3.6L V-6 Gas V,"San Antonio, Tx",134 days ago,1C4AJWAG8CL268619,,"3.6L Smpi 24V VVT V6 Engine; 6 Speed Manual Transmission; 23B Customer Preferred Order Selection PKG; 3.21 Axle Ratio; 16"" X 7.0"" Lux Styled Steel Wheels; P225/75R16 On/Off Road BSW Tires; Black Interior, Cloth Seats; Black Easy Folding Soft Top with Sunrider Feature; Air Conditioning; Trailer Tow Group; Sirius Satellite Radio with 1 Year Subscription; See less; Door Handle Color - Black; Front Bumper Color - Black; Grille Color - Body-Color; Mirror Color - Black; Rear Bumper Color - Black; See all features",No,Affordable (5K-15K),17.0,21.0,Affordable,Other,texas,texas,134.0,3,9.15,0.3695251334056036,143.15
2012,Jeep,2012 Jeep Wrangler Sahara 4Wd,12000,Black,Black Interior,73983,Gas,17 city / 21 highway,Automatic Transmission,4Wd,3.6L V-6 Gas V,"Honolulu, Hi",15 days ago,1C4AJWBG3CL170080,670992,"3.6L Smpi 24V VVT V6 Engine; 5 Speed Automatic Transmission; 24G Customer Preferred Order Selection PKG; 3.73 Axle Ratio; 18"" X 7.5"" Satin Silver Painted Aluminum Wheels; P255/70R18 On/Off Road Owl Tires; Black Interior, Cloth Seats; Black Easy Folding Soft Top with Sunrider Feature; See less; Wheel Type; Premium Audio; Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; See all features",No,Affordable (5K-15K),17.0,21.0,Affordable,Black,hawaii,Unmatched,15.0,3,49.92631684362078,0.3209674702685194,64.92631684362078
2015,Jeep,2015 Jeep Wrangler Sahara,11991,Bright White Clearcoat,Dark Saddle/Black,114345,Gas,17 city / 21 highway,Automatic Transmission,4Wd,3.6L V-6 Gas V,"Miramar, Fl",23 days ago,1C4AJWBG3FL532719,532719,"Engine: 3.6L V6 24V VVT; Transmission: 5 Speed Automatic (W5a580); Quick Order Package 24G; 3.21 Rear Axle Ratio; 18"" X 7.5"" Polished Satin Carbon Wheels; Dark Saddle/Black, Cloth Bucket Seats; Connectivity Group; Alpine 9 Speaker with All Weather Subwoofer; See less; Wheel Type; Premium Audio; Hill Start Assist Control; Premium Sound; V6 3.6 Liter; Automatic 5-Spd; Dual Air Bags; See all features",Yes,Affordable (5K-15K),17.0,21.0,Affordable,Other,florida,florida,23.0,1,33.660610753442576,0.3537245827277983,56.660610753442576
2015,Jeep,2015 Jeep Wrangler Sahara,10995,Anvil Clearcoat,Black,128500,Gas,17 city / 21 highway,Manual Transmission,4Wd,3.6L V-6 Gas V,"Naugatuck, Ct",34 days ago,1C4AJWBGXFL547184,547184N,"Engine: 3.6L V6 24V VVT; Transmission: 6 Speed Manual (NSG370); Quick Order Package 23G; 3.21 Rear Axle Ratio; 18"" X 7.5"" Polished Satin Carbon Wheels; Black, Cloth Bucket Seats; Trailer Tow Group; Black 3 Piece Hard Top; Radio: Uconnect 430N CD/DVD/MP3/HDD/Nav; Alpine 9 Speaker with All Weather Subwoofer; Mopar Slush Mats; See less; Wheel Type; Premium Audio; Navigation; Tow Hitch",No,Affordable (5K-15K),17.0,21.0,Affordable,Other,connecticut,Unmatched,34.0,3,39.83275154293764,0.3469489097959728,73.83275154293764
2015,Jeep,2015 Jeep Wrangler Unlimited Sport,17500,Bright White Clearcoat,Black,73500,Gas,16 city / 21 highway,Automatic Transmission,4Wd,3.6L V-6 Gas V,"Eugene, Or",3 days ago,1C4BJWDG5FL692196,K13104A,"Engine: 3.6L V6 24V VVT; Transmission: 5 Speed Automatic (W5a580); Quick Order Package 24S; 3.73 Rear Axle Ratio; 17"" X 7.5"" Aluminum Wheels; Tires: P255/75R17 Owl On/Off Road; Black, Cloth Bucket Seats; Connectivity Group; Black 3 Piece Hard Top; Sirius Satellite Radio; See less; Wheel Type; Bluetooth; Connectivity Group; Quick Order Package 24S; Sunrider Soft Top; 8 Speakers; AM/FM radio; See all features",Yes,Mid-range (15K-30K),16.0,21.0,Mid-range,Other,oregon,Unmatched,3.0,1,43.193225492624286,0.3504706617091352,46.193225492624286
2017,Jeep,2017 Jeep Wrangler Unlimited Sport,11995,Black Clearcoat,Black,120903,Gas,16 city / 21 highway,Automatic Transmission,4Wd,3.6L V-6 Gas V,"Patchogue, Ny",90 days ago,1C4BJWDG8HL744584,37371,"Engine: 3.6L V6 24V VVT; Transmission: 5 Speed Automatic (W5a580); Quick Order Package 24S; 3.21 Rear Axle Ratio; 17"" X 7.5"" Aluminum Wheels; Tires: P255/75R17 Owl On/Off Road; Black, Cloth Seats with Adjustable Head Restraints; Tubular Side Steps; See less; Wheel Type; ABS; 4-Wheel Disc Brakes; A/C; Adjustable Steering Wheel; AM/FM Stereo; See all features",No,Affordable (5K-15K),16.0,21.0,Affordable,Other,new york,new york,90.0,3,24.75,0.4311045157773864,114.75
2013,Jeep,2013 Jeep Wrangler Unlimited Sport,9999,Deep Cherry Red Crystal Pearl,Black Interior,125470,Gas,16 city / 21 highway,Manual Transmission,4Wd,3.6L V-6 Gas V,"Jacksonville, Fl",152 days ago,1C4BJWDG9DL545506,A45506,"3.6L Smpi 24V VVT V6 Engine; 6 Speed Manual Transmission; 23C Customer Preferred Order Selection PKG; 3.21 Axle Ratio; 16"" X 7.0"" Lux Styled Steel Wheels; P225/75R16 On/Off Road BSW Tires; Black Interior, Cloth Seat Trim; Black Easy Folding Soft Top with Sunrider Feature; SiriusXM Satellite Radio; See less; Driver Air Bag; Passenger Air Bag; A/C; AM/FM Stereo; CD Player; See all features",No,Affordable (5K-15K),16.0,21.0,Affordable,Other,florida,florida,152.0,3,14.1,0.3806828859774794,166.1
2012,Jeep,2012 Jeep Wrangler Unlimited Sahara 4Wd,11500,Bright Silver Metallic,Black Interior,146694,Gas,16 city / 21 highway,Automatic Transmission,4Wd,3.6L V-6 Gas V,"Canton, Ga",33 days ago,1C4BJWEG0CL123413,,"3.6L Smpi 24V VVT V6 Engine; 5 Speed Automatic Transmission; 24G Customer Preferred Order Selection PKG; 3.21 Axle Ratio; 18"" X 7.5"" Satin Silver Painted Aluminum Wheels; P255/70R18 On/Off Road Owl Tires; Black Interior, Cloth Seat Trim; Black Easy Folding Soft Top with Sunrider Feature; Connectivity Group; Uconnect 430N; Remote Start; See less; Wheel Type; Premium Audio; Navigation; Remote Engine Start; Bluetooth; Door Handle Color - Black; Fender Lip Moldings - Black; Front Bumper Color - Black; Grille Color - Body-Color; Mirror Color - Black; See all features",No,Affordable (5K-15K),16.0,21.0,Affordable,Other,georgia,Unmatched,33.0,3,30.65059822923696,0.3607585274920791,63.65059822923696
2013,Jeep,2013 Jeep Wrangler Unlimited Sahara,15495,Bright White,Black/Dark Saddle Interior,100218,Gas,16 city / 21 highway,Automatic Transmission,4Wd,3.6L V-6 Gas V,"Houston, Tx",6 days ago,1C4BJWEG4DL549784,549784AA,"3.6L Smpi 24V VVT V6 Engine; 5 Speed Automatic Transmission; 24G Customer Preferred Order Selection PKG; 3.21 Axle Ratio; 18"" X 7.5"" Satin Carbon Polished Aluminum Wheels; P255/70R18 On/Off Road Owl Tires; Black/Dark Saddle Interior, Leather Seat Trim; Body Color 3 Piece Hard Top; Trailer Tow Group; Connectivity Group; Uconnect 430N; Heated Front Seats; Remote Start; Air Cond with Auto Temp Control; See less; Wheel Type; Premium Audio; Navigation; Seat Material; Front Heated Seats; See all features; Towing Pkg; Stability Control; Hill Start Assist Control; Bluetooth Wireless; Hill Descent Control; See all features",No,Mid-range (15K-30K),16.0,21.0,Mid-range,Other,texas,texas,6.0,3,30.84616681416086,0.4099684951721675,36.84616681416086
2015,Jeep,2015 Jeep Wrangler Unlimited Sahara,17295,Bright White Clearcoat,Black,62046,Gas,16 city / 21 highway,Automatic Transmission,4Wd,3.6L V-6 Gas V,"Apopka, Fl",29 days ago,1C4BJWEG4FL651640,25-014,"Engine: 3.6L V6 24V VVT; Transmission: 5 Speed Automatic (W5a580); Quick Order Package 24G; 3.21 Rear Axle Ratio; 18"" X 7.5"" Polished Satin Carbon Wheels; Black, Cloth Bucket Seats; Trailer Tow Group; Body Color 3 Piece Hard Top; Radio: Uconnect 730N CD/DVD/MP3/HDD/Nav; See less; Wheel Type; Navigation; Bluetooth; Tow Hitch; Keyless Entry; Premium Sound; Power Windows; ABS (4-Wheel); Tilt Wheel; See all features",Yes,Mid-range (15K-30K),16.0,21.0,Mid-range,Other,florida,florida,29.0,1,36.29032011826876,0.3465087935048441,65.29032011826877
2017,Jeep,2017 Jeep Wrangler Unlimited Sahara,21094,Bright White Clearcoat,Black,53785,Gas,16 city / 21 highway,Manual Transmission,4Wd,3.6L V-6 Gas V,"Greenwood, In",123 days ago,1C4BJWEG4HL652810,P10421,"Engine: 3.6L V6 24V VVT; Transmission: 6 Speed Manual (NSG370); Quick Order Package 23G; 3.21 Rear Axle Ratio; 18"" X 7.5"" Polished Satin Carbon Wheels; Black, Cloth Seats with Adjustable Head Restraints; Connectivity Group; Anti Spin Differential Rear Axle; Radio: 430 Nav; Alpine 9 Speaker with All Weather Subwoofer; Heated Front Seats; Mopar Slush Mats; See less; Wheel Type; Premium Audio; Navigation; Seat Material; Front Heated Seats; Bluetooth; Driver Air Bag; Passenger Air Bag; A/C; Security System; AM/FM Stereo; See all features",Yes,Mid-range (15K-30K),16.0,21.0,Mid-range,Other,indiana,Unmatched,123.0,1,13.8,0.5668655987285779,136.8
2012,Jeep,2012 Jeep Wrangler Unlimited Sahara 4Wd,13900,Black,Black Interior,100948,Gas,16 city / 21 highway,Manual Transmission,4Wd,3.6L V-6 Gas V,"Fremont, Ne",82 days ago,1C4BJWEG6CL211110,18771s,"3.6L Smpi 24V VVT V6 Engine; 6 Speed Manual Transmission; 23G Customer Preferred Order Selection PKG; 3.73 Axle Ratio; 18"" X 7.5"" Satin Silver Painted Aluminum Wheels; P255/70R18 On/Off Road Owl Tires; Black Interior, Leather Seat Trim; Body Color 3 Piece Hardtop; Connectivity Group; Max Tow PKG; Heated Front Seats; Mopar Slush Mats; Air Cond with Auto Temp Control; See less; Wheel Type; Premium Audio; Seat Material; Front Heated Seats; Bluetooth; Tow Hitch; Manual 6-Spd; Traction Control; 4WD; Alarm System; AM/FM Stereo; See all features",No,Affordable (5K-15K),16.0,21.0,Affordable,Black,nebraska,Unmatched,82.0,3,19.35,0.3838314561128421,101.35
2017,Jeep,2017 Jeep Wrangler Unlimited Sahara,18490,Black Clearcoat,Black,93108,Gas,16 city / 21 highway,Automatic Transmission,4Wd,3.6L V-6 Gas V,"Highland, In",114 days ago,1C4BJWEG6HL600059,H3540B,"Engine: 3.6L V6 24V VVT; Transmission: 5 Speed Automatic (W5a580); Quick Order Package 24G; 3.21 Rear Axle Ratio; 18"" X 7.5"" 7 Spoke Polished Aluminum Wheels; Black, Leather Trimmed Bucket Seats; Connectivity Group; Body Color 3 Piece Hard Top; Radio: 430 Nav; Alpine 9 Speaker with All Weather Subwoofer; Heated Front Seats; Remote Start System; See less; Wheel Type; Premium Audio; Navigation; Seat Material; Front Heated Seats; See all features; Connectivity Group; Quick Order Package 24G; Body Color 3-Piece Hard Top; 40GB Hard Drive w/28GB Available; 8 Speakers; See all features",Yes,Mid-range (15K-30K),16.0,21.0,Mid-range,Other,indiana,Unmatched,114.0,1,30.15,0.4383523431304121,144.15
2013,Jeep,2013 Jeep Wrangler Unlimited Sahara,11936,Billet Silver Metallic,Black Interior,110623,Gas,16 city / 21 highway,Automatic Transmission,4Wd,3.6L V-6 Gas V,"Wilmington, De",75 days ago,1C4BJWEG7DL562836,8573A,"3.6L Smpi 24V VVT V6 Engine; 5 Speed Automatic Transmission; 24G Customer Preferred Order Selection PKG; 3.73 Axle Ratio; 18"" X 7.5"" Satin Carbon Polished Aluminum Wheels; P255/70R18 On/Off Road Owl Tires; Black Interior, Cloth Seat Trim; Body Color 3 Piece Hard Top; See less; Wheel Type; Premium Audio; Quick Order Package 24G; Body Color 3-Piece Hard Top; 7 Speakers; AM/FM radio: SIRIUS; Audio Jack Input for Mobile Devices; See all features",No,Affordable (5K-15K),16.0,21.0,Affordable,Other,delaware,Unmatched,75.0,3,19.35,0.3761895810578965,94.35
